name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost_for_two,listed_in(type),listed_in(city)
Meghana Foods,1,0,4.4,7238,Koramangala 5th Block,Casual Dining,"Biryani, Andhra, North Indian, Seafood",600.0,Dine-out,Koramangala 7th Block
Flechazo,0,1,4.7,7154,Marathahalli,Casual Dining,"Asian, Mediterranean, North Indian, BBQ",1400.0,Buffet,Marathahalli
The Hole in the Wall Cafe,0,0,4.6,7137,Koramangala 4th Block,Cafe,"Cafe, American, Burger",600.0,Dine-out,Koramangala 7th Block
Biergarten,0,1,4.7,7064,Whitefield,"Microbrewery, Pub","Continental, European, BBQ, Chinese, Asian",2400.0,Dine-out,Whitefield
Vapour Pub & Brewery,0,1,4.2,6998,Indiranagar,"Microbrewery, Pub","North Indian, Continental, Chinese",1400.0,Drinks & nightlife,Old Airport Road
Empire Restaurant,1,0,4.1,6959,Koramangala 5th Block,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750.0,Buffet,Koramangala 7th Block
TBC Sky Lounge,0,1,4.7,6745,HSR,"Casual Dining, Bar","Continental, Asian, Italian, North Indian",1000.0,Dine-out,HSR
AB's - Absolute Barbecues,0,1,4.9,6490,BTM,Casual Dining,"European, Mediterranean, North Indian, BBQ",1600.0,Dine-out,Koramangala 7th Block
Chili's American Grill & Bar,1,1,4.8,6470,Malleshwaram,"Casual Dining, Bar","American, Tex-Mex, Burger, BBQ, Mexican",1400.0,Pubs and bars,Rajajinagar
Fenny's Lounge And Kitchen,0,1,4.5,6385,Koramangala 7th Block,"Bar, Casual Dining","Mediterranean, Pizza, Continental, Seafood, Salad",1600.0,Dine-out,Koramangala 7th Block
Windmills Craftworks,0,0,4.6,5954,Whitefield,"Microbrewery, Pub","American, North Indian, Salad",2500.0,Dine-out,Whitefield
Brew and Barbeque - A Microbrewery Pub,1,1,4.6,5913,Marathahalli,"Microbrewery, Pub","Continental, North Indian, BBQ, Steak",1400.0,Drinks & nightlife,Marathahalli
Smoke House Deli,1,1,4.6,5448,Indiranagar,Casual Dining,"European, Italian, Desserts, Salad, Juices, Steak",1600.0,Dine-out,Old Airport Road
Glen's Bakehouse,1,0,4.3,5352,Indiranagar,"Bakery, Cafe","Bakery, Cafe, Italian, Desserts",600.0,Delivery,Old Airport Road
Hard Rock Cafe,0,1,4.5,5294,St. Marks Road,"Casual Dining, Bar","American, BBQ",2500.0,Drinks & nightlife,Residency Road
Empire Restaurant,1,0,4.4,5060,Jayanagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750.0,Dine-out,Basavanagudi
The Boozy Griffin,0,1,4.6,5024,Koramangala 5th Block,"Casual Dining, Pub","European, Continental",1800.0,Pubs and bars,Koramangala 7th Block
Chili's American Grill & Bar,1,0,4.6,4957,Whitefield,Casual Dining,"American, Tex-Mex, Burger, BBQ, Mexican",1400.0,Dine-out,Whitefield
Onesta,1,1,4.4,4897,New BEL Road,"Casual Dining, Cafe","Pizza, Cafe, Italian",600.0,Dine-out,New BEL Road
Chianti,0,1,4.7,4872,Koramangala 5th Block,Casual Dining,Italian,1500.0,Dine-out,Koramangala 7th Block
Hammered,1,1,4.7,4845,Cunningham Road,"Pub, Cafe","North Indian, Thai, Japanese, Continental, Cafe",1300.0,Drinks & nightlife,Residency Road
High Ultra Lounge,0,1,4.1,4781,Malleshwaram,"Lounge, Casual Dining","Japanese, Thai, Chinese, Korean",2600.0,Drinks & nightlife,Rajajinagar
Chutney Chang,1,1,4.2,4752,Church Street,Casual Dining,"North Indian, Chinese, BBQ",1500.0,Dine-out,Residency Road
Koramangala Social,1,0,4.6,4714,Koramangala 7th Block,Lounge,"American, North Indian, Chinese, Finger Food",1500.0,Dine-out,Koramangala 7th Block
Onesta,1,1,4.3,4709,Indiranagar,"Casual Dining, Cafe","Pizza, Cafe, Italian",600.0,Delivery,Old Airport Road
The Boozy Griffin,0,1,4.8,4705,Marathahalli,Pub,"European, Continental",1800.0,Drinks & nightlife,Marathahalli
Barleyz,0,0,3.8,4660,Koramangala 6th Block,"Lounge, Microbrewery","North Indian, Continental, Chinese",2000.0,Dine-out,Koramangala 7th Block
The 13th Floor,0,1,4.4,4616,MG Road,Lounge,"Asian, North Indian, Thai",1700.0,Drinks & nightlife,Residency Road
Meghana Foods,1,0,4.5,4569,Jayanagar,Casual Dining,"Biryani, Andhra, North Indian, Seafood",600.0,Dine-out,Basavanagudi
House Of Commons,0,1,4.7,4470,Koramangala 5th Block,Bar,"Continental, Asian, North Indian",1000.0,Pubs and bars,Koramangala 7th Block
Vidyarthi Bhavan,0,0,4.4,4460,Basavanagudi,Quick Bites,South Indian,150.0,Dine-out,Banashankari
Chianti,0,1,4.6,4453,Indiranagar,Casual Dining,Italian,1500.0,Dine-out,Old Airport Road
Plan B,0,0,4.1,4448,Brigade Road,"Casual Dining, Pub","American, Continental, BBQ, Steak",1200.0,Dine-out,Residency Road
CTR,1,0,4.8,4421,Malleshwaram,Quick Bites,South Indian,150.0,Delivery,Rajajinagar
Onesta,1,1,4.3,4421,JP Nagar,"Casual Dining, Cafe","Pizza, Cafe, Italian",600.0,Dine-out,Jayanagar
Brewsky,1,1,4.3,4325,JP Nagar,Microbrewery,"Continental, American",1600.0,Dine-out,Jayanagar
The Black Rabbit,0,1,4.3,4239,Indiranagar,"Bar, Casual Dining","Continental, Finger Food",1500.0,Pubs and bars,Old Airport Road
The Fisherman's Wharf,1,1,4.3,4139,Sarjapur Road,"Casual Dining, Bar","Seafood, Goan, North Indian, Continental, Asian",1400.0,Pubs and bars,Sarjapur Road
Communiti,0,0,4.6,4119,Residency Road,"Microbrewery, Casual Dining","Continental, BBQ, Salad",1500.0,Dine-out,Residency Road
Sotally Tober,0,1,4.4,4096,Koramangala 4th Block,"Bar, Casual Dining","Asian, Burger, Pizza, Chinese, Finger Food",1200.0,Dine-out,Koramangala 7th Block
Brooks and Bonds Brewery,1,1,4.5,3996,Koramangala 5th Block,"Casual Dining, Microbrewery","Continental, Mediterranean, North Indian, Chinese, Finger Food",1600.0,Dine-out,Koramangala 7th Block
The London Curry House - The Royale Senate Hotel,0,0,4.5,3960,Race Course Road,"Casual Dining, Bar","Pizza, North Indian, Modern Indian",1300.0,Pubs and bars,Malleshwaram
The Globe Grub,0,1,4.8,3932,Marathahalli,Casual Dining,"Continental, North Indian, Asian, Italian",1300.0,Dine-out,Marathahalli
Gilly's Restobar,0,1,4.5,3923,Koramangala 5th Block,"Pub, Casual Dining","Finger Food, Continental, North Indian",1000.0,Pubs and bars,Koramangala 7th Block
Truffles,0,0,4.7,3916,New BEL Road,"Cafe, Casual Dining","Cafe, American, Burger, Steak",900.0,Dine-out,New BEL Road
Monkey Bar,1,0,4.3,3890,Indiranagar,Pub,"American, Asian, European, North Indian",1400.0,Dine-out,Old Airport Road
Three Dots & A Dash,0,1,4.1,3864,Indiranagar,"Casual Dining, Bar","European, Continental",1300.0,Pubs and bars,Indiranagar
Barbeque Nation,0,1,4.8,3864,JP Nagar,Casual Dining,"North Indian, European, Mediterranean, BBQ, Kebab",1600.0,Dine-out,Jayanagar
Onesta,1,1,4.4,3859,HSR,"Casual Dining, Cafe","Pizza, Cafe, Italian",600.0,Delivery,Sarjapur Road
Dyu Art Cafe,0,0,4.5,3854,Koramangala 5th Block,Cafe,"Cafe, Italian, Fast Food",800.0,Dine-out,Koramangala 7th Block
Empire Restaurant,1,0,3.9,3833,HSR,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750.0,Dine-out,HSR
The Fatty Bao - Asian Gastro Bar,1,0,4.6,3823,Indiranagar,"Casual Dining, Bar","Japanese, Sushi, Asian",1200.0,Pubs and bars,Old Airport Road
Soda Bottle Opener Wala,1,1,4.4,3730,Lavelle Road,"Casual Dining, Irani Cafee","Parsi, North Indian",1300.0,Drinks & nightlife,Residency Road
Tim Tai,1,1,4.4,3677,Koramangala 5th Block,Casual Dining,"Chinese, Thai, Asian, Malaysian, Vietnamese, Sri Lankan, Burmese",1400.0,Dine-out,Koramangala 6th Block
LOFT38,0,1,4.3,3659,Indiranagar,"Lounge, Casual Dining","Italian, BBQ, Asian, Fast Food",1900.0,Dine-out,Old Airport Road
Barbeque Nation,0,1,4.7,3632,Koramangala 1st Block,Casual Dining,"North Indian, European, Mediterranean, BBQ, Kebab",1600.0,Dine-out,Koramangala 6th Block
Kota Kachori,1,0,4.3,3624,Koramangala 6th Block,Quick Bites,"Street Food, Desserts, North Indian, Mithai, Rajasthani",400.0,Dine-out,Koramangala 7th Block
Truffles,0,0,4.5,3614,St. Marks Road,Cafe,"Cafe, American, Burger, Steak",900.0,Dine-out,Brigade Road
Smally's Resto Cafe,1,0,4.2,3581,Church Street,Cafe,"Cafe, Italian, Burger, American, Steak",650.0,Dine-out,Residency Road
House Of Commons,0,1,4.7,3573,HSR,Bar,"Continental, Asian, North Indian",1000.0,Drinks & nightlife,HSR
The Biere Club,1,1,4.3,3498,Lavelle Road,"Pub, Microbrewery","Continental, BBQ, Finger Food",1700.0,Dine-out,Residency Road
Jalsa Gold,0,1,4.5,3486,Marathahalli,Casual Dining,"North Indian, Mughlai, Italian",1300.0,Dine-out,Marathahalli
Sultans of Spice,1,1,4.5,3473,Koramangala 5th Block,Casual Dining,"North Indian, Mughlai, Salad",1300.0,Dine-out,Koramangala 7th Block
Gramin,1,0,4.3,3468,Koramangala 7th Block,Casual Dining,North Indian,600.0,Dine-out,Koramangala 7th Block
Delhi Highway,1,1,4.4,3439,Indiranagar,Casual Dining,"North Indian, Mughlai",1500.0,Dine-out,Old Airport Road
Meghana Foods Grand,1,0,4.2,3367,Marathahalli,Casual Dining,"Biryani, Andhra, North Indian, Seafood",600.0,Delivery,Marathahalli
Little Italy,1,1,4.2,3307,Indiranagar,Casual Dining,"Italian, Pizza, Mexican",1400.0,Dine-out,Old Airport Road
Empire Restaurant,1,0,4.0,3286,Church Street,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750.0,Buffet,Residency Road
Paradise,1,0,4.0,3268,Indiranagar,Casual Dining,"Biryani, North Indian, Kebab",800.0,Delivery,Old Airport Road
Empire Restaurant,1,0,4.1,3248,Kammanahalli,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750.0,Dine-out,Kammanahalli
Punjabi by Nature 2.0,0,0,4.2,3236,BTM,"Casual Dining, Microbrewery",North Indian,1600.0,Delivery,Jayanagar
ECHOES Koramangala,0,0,4.7,3220,Koramangala 5th Block,"Cafe, Casual Dining","Chinese, American, Continental, Italian, North Indian",750.0,Dine-out,Koramangala 7th Block
Empire Restaurant,1,0,4.3,3178,Bannerghatta Road,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750.0,Buffet,Bannerghatta Road
Buff Buffet Buff,1,1,4.5,3177,Koramangala 5th Block,"Casual Dining, Bar","North Indian, Chinese, Continental, Thai, Salad",1500.0,Pubs and bars,Koramangala 7th Block
Tipsy Bull - The Bar Exchange,0,1,4.6,3173,Indiranagar,"Bar, Casual Dining","Chinese, Continental, North Indian, Mexican",1400.0,Dine-out,Old Airport Road
Ebony,1,1,4.3,3152,MG Road,Casual Dining,"North Indian, South Indian",1500.0,Dine-out,MG Road
Skyye,0,1,4.2,3140,Lavelle Road,Lounge,Continental,2500.0,Dine-out,Residency Road
Float,1,1,4.4,3133,Marathahalli,"Casual Dining, Bar","North Indian, Japanese",1500.0,Delivery,Sarjapur Road
The Druid Garden,1,1,4.3,3077,Sahakara Nagar,"Microbrewery, Casual Dining","Asian, Continental, European, North Indian, Mediterranean",1700.0,Delivery,New BEL Road
Ruh,0,1,4.0,3056,Bellandur,Casual Dining,"North Indian, Mughlai, Mediterranean, Iranian",1000.0,Drinks & nightlife,Sarjapur Road
Kapoor's Cafe,0,0,4.2,3021,Whitefield,Casual Dining,North Indian,800.0,Delivery,Whitefield
AB's - Absolute Barbecues,0,1,4.8,3009,Whitefield,Casual Dining,"European, Mediterranean, North Indian, BBQ",1600.0,Dine-out,Whitefield
Cafe Thulp,1,0,4.1,3007,Koramangala 1st Block,Cafe,"Cafe, Burger, Italian, Salad",1000.0,Delivery,Koramangala 4th Block
Sidewalk - The Garden Bar,1,1,4.4,3004,Marathahalli,"Bar, Casual Dining","North Indian, Continental, Chinese, Thai",1300.0,Dine-out,Marathahalli
Flechazo,0,1,4.9,3004,Whitefield,Casual Dining,"Asian, Mediterranean, North Indian, BBQ",1400.0,Dine-out,Whitefield
Phobidden Fruit,0,0,4.4,2950,Indiranagar,Casual Dining,"Vietnamese, Salad",1100.0,Dine-out,Old Airport Road
Tippler,0,1,4.2,2946,Indiranagar,Pub,"Russian, Continental, North Indian",1300.0,Drinks & nightlife,Old Airport Road
The Only Place,1,1,4.2,2938,Church Street,Casual Dining,"Italian, American, Steak, Continental, BBQ, Salad",1000.0,Delivery,Residency Road
Hammered,1,1,4.5,2935,New BEL Road,"Pub, Cafe","North Indian, Continental, Cafe",1200.0,Dine-out,New BEL Road
Karama Restaurant,1,1,4.4,2907,Frazer Town,Casual Dining,"Arabian, North Indian, Beverages",750.0,Delivery,MG Road
Onesta,1,1,4.6,2906,Marathahalli,"Casual Dining, Cafe","Pizza, Cafe, Italian",600.0,Delivery,Marathahalli
Mavalli Tiffin Room (MTR),0,0,4.5,2896,Basavanagudi,Quick Bites,South Indian,250.0,Dine-out,Basavanagudi
Vapour Brewpub and Diner,0,1,4.5,2878,Sarjapur Road,"Microbrewery, Pub","North Indian, Continental, Italian",1400.0,Drinks & nightlife,Sarjapur Road
A Hole Lotta Love Cafe,1,0,4.3,2874,Koramangala 5th Block,Cafe,"Cafe, American, Burger, Sandwich, Beverages",600.0,Dine-out,Koramangala 7th Block
Green Theory,1,1,4.2,2872,Residency Road,"Casual Dining, Cafe","Italian, Salad, Healthy Food, Cafe, Asian, Desserts, Pizza",800.0,Dine-out,Residency Road
1131 Bar + Kitchen,0,1,4.4,2861,Indiranagar,"Bar, Casual Dining","Continental, Asian, Italian, North Indian",1500.0,Drinks & nightlife,Old Airport Road
Ji Hazoor,1,1,4.0,2856,Whitefield,"Casual Dining, Bar","Mughlai, North Indian, Biryani, Afghan",1100.0,Pubs and bars,Whitefield
Hakuna Matata,0,0,4.5,2800,JP Nagar,"Casual Dining, Bar","North Indian, Asian, Seafood, Chinese",1200.0,Dine-out,JP Nagar
Whitefield Social,1,0,4.1,2773,Whitefield,Pub,"American, North Indian, Chinese, Finger Food, Momos",1500.0,Pubs and bars,Whitefield
Double Decker,0,1,4.3,2749,Brigade Road,"Bar, Casual Dining","Continental, North Indian",1300.0,Drinks & nightlife,Residency Road
Cafe Azzure,1,1,4.2,2747,MG Road,Cafe,"Cafe, Continental, Italian, Burger",1200.0,Dine-out,Residency Road
The Pallet,0,1,4.5,2745,Whitefield,"Microbrewery, Pub","Continental, Mediterranean, Italian, North Indian, Finger Food, Asian, Momos",1600.0,Drinks & nightlife,Whitefield
Om Made Cafe,0,0,4.1,2738,Koramangala 5th Block,Cafe,"Cafe, Continental, European, Juices",1300.0,Dine-out,Koramangala 7th Block
Gilly's Restobar,0,1,4.5,2732,New BEL Road,"Pub, Casual Dining","Continental, Finger Food, North Indian, Chinese",1200.0,Drinks & nightlife,New BEL Road
Dadi's Dum Biryani,1,1,4.1,2732,BTM,Casual Dining,"Biryani, North Indian, Mughlai",800.0,Dine-out,Koramangala 7th Block
Mr. Beans - Home Cafe,1,1,4.2,2717,Koramangala 3rd Block,Cafe,"Cafe, Continental, Italian",1000.0,Dine-out,Koramangala 7th Block
Stoner,1,0,4.4,2699,Indiranagar,Dessert Parlor,"Ice Cream, Pizza, Beverages",550.0,Delivery,Old Airport Road
Empire Restaurant,1,0,4.0,2692,RT Nagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750.0,Delivery,Frazer Town
Brahmin's Coffee Bar,0,0,4.8,2679,Basavanagudi,Quick Bites,South Indian,100.0,Dine-out,Basavanagudi
Stoner,1,0,4.5,2668,Koramangala 5th Block,"Dessert Parlor, Cafe","Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",500.0,Desserts,BTM
Matteo Coffea,0,0,4.4,2662,Church Street,Cafe,Cafe,600.0,Dine-out,Brigade Road
Chinita Real Mexican Food,0,0,4.4,2658,Indiranagar,Casual Dining,Mexican,1200.0,Dine-out,Indiranagar
Onesta,1,1,4.4,2640,Kammanahalli,"Casual Dining, Cafe","Pizza, Cafe, Italian",600.0,Dine-out,Kammanahalli
Bonsouth,0,1,4.2,2626,Koramangala 5th Block,Casual Dining,"Chettinad, Andhra, Kerala",1300.0,Desserts,BTM
Onesta,1,1,4.6,2604,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",600.0,Delivery,Jayanagar
The Reservoire,0,1,4.5,2601,Koramangala 5th Block,"Bar, Casual Dining","Continental, North Indian, Chinese, American",1300.0,Pubs and bars,Koramangala 7th Block
Crawl Street,1,1,4.2,2589,Koramangala 5th Block,Bar,"Continental, Finger Food, North Indian, Chinese",1200.0,Pubs and bars,Koramangala 7th Block
Mamagoto,1,1,4.4,2580,Indiranagar,Casual Dining,"Asian, Thai, Chinese, BBQ, Momos",1600.0,Dine-out,Old Airport Road
Smoke House Deli,1,0,4.6,2521,Lavelle Road,Casual Dining,"European, Italian, Desserts, Salad, Juices, Steak",1600.0,Delivery,Residency Road
Deja Vu Resto Bar,1,1,4.4,2511,Bannerghatta Road,Pub,"North Indian, Italian",900.0,Delivery,Koramangala 7th Block
Shivaji Military Hotel,0,0,,2497,Jayanagar,Casual Dining,"South Indian, Biryani",450.0,Dine-out,Jayanagar
Village - The Soul of India,0,1,,2464,JP Nagar,Casual Dining,"Rajasthani, Gujarati, North Indian, South Indian",1000.0,Dine-out,Jayanagar
Bundar,0,0,4.1,2451,Koramangala 6th Block,Cafe,"Cafe, Burger, Fast Food, Desserts",700.0,Dine-out,Koramangala 7th Block
Chulha Chauki Da Dhaba,1,0,4.3,2447,JP Nagar,Casual Dining,North Indian,800.0,Dine-out,Jayanagar
Barebones - The Balcony Bar,0,1,4.2,2445,Indiranagar,"Bar, Casual Dining","Chinese, Continental, Finger Food, Italian",1500.0,Pubs and bars,Indiranagar
Farzi Cafe,0,0,4.4,2435,Lavelle Road,"Casual Dining, Microbrewery",Modern Indian,1500.0,Dine-out,Residency Road
The Humming Tree,0,0,4.0,2432,Indiranagar,Lounge,"Fast Food, European",2000.0,Dine-out,Old Airport Road
Stories,1,1,4.6,2423,Rajajinagar,"Casual Dining, Bar","Continental, North Indian, Chinese",1100.0,Dine-out,Rajajinagar
Veena Stores,1,0,4.5,2416,Malleshwaram,Quick Bites,South Indian,150.0,Delivery,Rajajinagar
Nasi And Mee,1,1,4.4,2403,Koramangala 4th Block,Casual Dining,"Malaysian, Thai, Singaporean, Asian, Chinese, Momos",1000.0,Dine-out,Koramangala 7th Block
Empire Restaurant,1,0,4.1,2402,JP Nagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750.0,Dine-out,JP Nagar
Bombay Adda,0,1,4.4,2400,Koramangala 7th Block,"Casual Dining, Bar",Modern Indian,1100.0,Pubs and bars,Koramangala 7th Block
Brewklyn Microbrewery,1,1,4.4,2392,Kalyan Nagar,"Microbrewery, Casual Dining","American, Continental, Pizza",2000.0,Dine-out,Kammanahalli
Imperio Restaurant,1,1,4.4,2382,Whitefield,Casual Dining,"North Indian, Arabian, Mughlai, Biryani, Seafood, Beverages",700.0,Dine-out,Whitefield
Indigo XP,0,0,4.2,2380,Koramangala 5th Block,Pub,"Finger Food, Continental, Asian, North Indian",1400.0,Pubs and bars,Koramangala 7th Block
Yauatcha,0,1,4.6,2372,MG Road,Fine Dining,"Chinese, Asian, Cantonese, Tea",2800.0,Dine-out,Residency Road
Chutney Chang,1,1,4.1,2365,Jayanagar,Casual Dining,"North Indian, Chinese, BBQ",1500.0,Dine-out,Basavanagudi
1947,0,1,4.1,2359,Jayanagar,Casual Dining,"North Indian, Chinese",950.0,Dine-out,Basavanagudi
Koshy's,0,0,3.8,2332,St. Marks Road,Casual Dining,"South Indian, North Indian, Chinese, Beverages",700.0,Dine-out,Residency Road
District 6 Pub Brewery & Kitchen,0,0,4.3,2324,Malleshwaram,Microbrewery,"German, European, Pizza, American, North Indian, Chinese",1800.0,Drinks & nightlife,Rajajinagar
Easy Tiger,0,0,4.3,2319,Church Street,"Bar, Casual Dining","Finger Food, Continental",1100.0,Dine-out,Brigade Road
Nagarjuna,0,0,4.3,2308,Koramangala 5th Block,Casual Dining,"Andhra, North Indian, Biryani",800.0,Dine-out,Koramangala 7th Block
Brik Oven,0,0,4.6,2295,Church Street,Cafe,"Cafe, Pizza, Beverages",1100.0,Dine-out,Residency Road
The Open Box,1,1,4.2,2292,St. Marks Road,"Casual Dining, Bar","European, North Indian, Mediterranean, Asian, Salad",1400.0,Drinks & nightlife,Residency Road
The Biere Club,0,1,4.3,2283,Whitefield,"Pub, Microbrewery","Continental, BBQ, Finger Food",1700.0,Pubs and bars,Whitefield
Chulha Chauki Da Dhaba,1,0,4.2,2283,Brookefield,Casual Dining,North Indian,800.0,Delivery,Whitefield
Millers 46,0,1,4.4,2275,Vasanth Nagar,Casual Dining,"American, Continental, Steak",1100.0,Dine-out,Lavelle Road
Asia Kitchen By Mainland China,1,1,4.9,2256,Koramangala 5th Block,"Casual Dining, Bar","Asian, Chinese, Thai, Momos",1500.0,Pubs and bars,Koramangala 7th Block
Hunan,0,1,4.3,2254,Koramangala 5th Block,Casual Dining,"Chinese, Thai, Momos",1100.0,Dine-out,Koramangala 7th Block
Shiro,1,1,4.4,2247,Lavelle Road,"Fine Dining, Lounge","Japanese, Asian",3000.0,Drinks & nightlife,Residency Road
Bangalore Brew Works,0,1,4.3,2246,Residency Road,"Microbrewery, Lounge","Continental, Italian",1700.0,Dine-out,Residency Road
Chavadi,1,1,4.4,2241,Bannerghatta Road,"Casual Dining, Bar","Continental, North Indian, Pizza, Italian",1200.0,Delivery,JP Nagar
Tipsy Bull - The Bar Exchange,1,1,4.4,2232,Bellandur,"Bar, Casual Dining","North Indian, Chinese, Continental, Mexican",1400.0,Pubs and bars,Sarjapur Road
Stories,1,1,4.3,2230,JP Nagar,"Pub, Casual Dining","American, Chinese, Continental, North Indian",1200.0,Dine-out,Jayanagar
Olive Bar And Kitchen,0,1,4.5,2219,Richmond Road,Casual Dining,"Mediterranean, European, Salad",1800.0,Buffet,Residency Road
Empire Restaurant,1,0,3.7,2192,Bellandur,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750.0,Dine-out,Sarjapur Road
Jalsa,1,1,4.2,2189,Marathahalli,Casual Dining,"North Indian, Mughlai",1500.0,Delivery,Marathahalli
NoLimmits Lounge and Club,1,1,4.1,2181,Brigade Road,Club,"Chinese, Continental, North Indian",2000.0,Drinks & nightlife,Residency Road
Meghana Foods,1,0,4.3,2177,Residency Road,Casual Dining,"Biryani, Andhra, North Indian, Seafood",600.0,Dine-out,Residency Road
Corner House Ice Cream,1,0,4.7,2174,Indiranagar,Dessert Parlor,"Ice Cream, Desserts",400.0,Desserts,Old Airport Road
Happy Brew,0,1,4.0,2164,Koramangala 5th Block,Lounge,"Continental, American, Chinese, BBQ, Salad",1000.0,Drinks & nightlife,Koramangala 7th Block
Empire Restaurant,1,0,4.4,2162,Brigade Road,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750.0,Dine-out,Residency Road
JW Kitchen - JW Marriott Bengaluru,0,1,4.4,2143,Lavelle Road,Fine Dining,"North Indian, Continental, Italian",2200.0,Dine-out,Residency Road
Barbeque Nation,0,1,4.4,2131,Whitefield,Casual Dining,"North Indian, European, Mediterranean, BBQ, Kebab",1600.0,Dine-out,Whitefield
Vinny's,1,1,4.2,2130,Banashankari,Casual Dining,"Pizza, Italian, Continental, Desserts",800.0,Dine-out,Jayanagar
Sattvam,0,0,4.4,2127,Sadashiv Nagar,Casual Dining,"North Indian, South Indian",1200.0,Buffet,Malleshwaram
Onesta,1,1,4.4,2110,Whitefield,"Casual Dining, Cafe","Pizza, Cafe, Italian",600.0,Cafes,Whitefield
NH8,1,1,4.1,2100,Indiranagar,Casual Dining,Rajasthani,800.0,Dine-out,Old Airport Road
Milano Ice Cream,0,0,4.9,2090,Indiranagar,Dessert Parlor,"Ice Cream, Desserts",400.0,Desserts,Indiranagar
Cafe Noir,0,1,4.2,2080,Lavelle Road,Casual Dining,"European, French, Salad",1500.0,Dine-out,Residency Road
The Yellow Submarine,0,1,4.4,2075,Bannerghatta Road,"Microbrewery, Casual Dining","Continental, North Indian, Chinese, Pizza, Thai",1200.0,Dine-out,JP Nagar
Salt - Indian Restaurant - Bar & Grill,0,1,4.4,2073,Whitefield,Casual Dining,North Indian,1500.0,Dine-out,Whitefield
Once Upon A Flame,1,0,4.5,2073,HSR,Casual Dining,"Steak, Continental, Burger, BBQ",1200.0,Delivery,Koramangala 5th Block
Fava,0,1,4.4,2055,Lavelle Road,"Casual Dining, Bar","Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab",1200.0,Delivery,Residency Road
Portland Steakhouse & Cafe,1,1,4.3,2053,MG Road,Casual Dining,"Steak, Italian, Continental, American, Burger, BBQ, Salad",1500.0,Delivery,Residency Road
Samarkand,0,1,4.1,2051,Infantry Road,Casual Dining,"North Indian, Mughlai",1600.0,Dine-out,Residency Road
Subz,1,1,4.2,2049,Jayanagar,Casual Dining,"North Indian, South Indian",1000.0,Dine-out,Basavanagudi
Paradise,1,0,4.0,2043,Electronic City,Casual Dining,"Biryani, North Indian, Kebab",800.0,Delivery,Electronic City
